Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Categoria,Description,ComponentLabel
Eta14,KW,PGK,42.19018666113934,7177.160318026206,119.1242514371872,448.195271416322,0.09413349348335605,Eta14,Eta14,Enriquecido com clima,E + W + PGK + PGKE + PGKW,Fenômico Gaussiano (PGK)
Eta14,KW,PGKE,14.56016344168092,7177.160318026206,119.1242514371872,448.195271416322,0.03248620494292587,Eta14,Eta14,Enriquecido com clima,E + W + PGK + PGKE + PGKW,PGK × E
Eta14,KW,PGKW,33.82010274498458,7177.160318026206,119.1242514371872,448.195271416322,0.07545841043371826,Eta14,Eta14,Enriquecido com clima,E + W + PGK + PGKE + PGKW,PGK × W
Eta14,KW,Residual,55.496343340004934,7177.160318026206,119.1242514371872,448.195271416322,0.12382179572005167,Eta14,Eta14,Enriquecido com clima,E + W + PGK + PGKE + PGKW,Residual
Eta14,KW,W,0.41455371780931055,7177.160318026206,119.1242514371872,448.195271416322,9.249399631087087e-4,Eta14,Eta14,Enriquecido com clima,E + W + PGK + PGKE + PGKW,Kernel climático (W)
Eta15,GY,E,961.4058208581786,6896.390101055366,111.72293636798858,2146.337921936815,0.44792845107569274,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Ambiente (E)
Eta15,GY,GGK,954.4849852706027,6896.390101055366,111.72293636798858,2146.337921936815,0.4447039655383312,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Genômico Gaussiano (GGK)
Eta15,GY,GGKE,36.61945647644063,6896.390101055366,111.72293636798858,2146.337921936815,0.017061365827891598,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,GGK × E
Eta15,GY,GGKW,95.88356302291288,6896.390101055366,111.72293636798858,2146.337921936815,0.044673097392040374,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,GGK × W
Eta15,GY,PGK,14.904830757185199,6896.390101055366,111.72293636798858,2146.337921936815,0.006944307606388168,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Fenômico Gaussiano (PGK)
Eta15,GY,PGKE,13.52910774896499,6896.390101055366,111.72293636798858,2146.337921936815,0.006303344692692462,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,PGK × E
Eta15,GY,PGKW,28.64772407835634,6896.390101055366,111.72293636798858,2146.337921936815,0.013347257105025276,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,PGK × W
Eta15,GY,Residual,39.86493551074111,6896.390101055366,111.72293636798858,2146.337921936815,0.01857346650930332,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Residual
Eta15,GY,W,0.9974982134324106,6896.390101055366,111.72293636798858,2146.337921936815,4.6474425263487266e-4,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Kernel climático (W)
Eta15,KW,E,229.67073877938174,5537.395796466425,181.01811270713807,782.6367461240344,0.29345764802996216,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Ambiente (E)
Eta15,KW,GGK,500.67461492944614,5537.395796466425,181.01811270713807,782.6367461240344,0.6397279675520089,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Genômico Gaussiano (GGK)
Eta15,KW,GGKE,8.846667231849617,5537.395796466425,181.01811270713807,782.6367461240344,0.011303669647077333,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,GGK × E
Eta15,KW,GGKW,18.4319505931016,5537.395796466425,181.01811270713807,782.6367461240344,0.02355109274434765,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,GGK × W
Eta15,KW,PGK,3.970116175790893,5537.395796466425,181.01811270713807,782.6367461240344,0.005072744405949089,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Fenômico Gaussiano (PGK)
Eta15,KW,PGKE,3.4239516009037123,5537.395796466425,181.01811270713807,782.6367461240344,0.004374892461746327,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,PGK × E
Eta15,KW,PGKW,7.3929012661564295,5537.395796466425,181.01811270713807,782.6367461240344,0.009446146379874659,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,PGK × W
Eta15,KW,Residual,9.969921730650759,5537.395796466425,181.01811270713807,782.6367461240344,0.012738887842956837,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Residual
Eta15,KW,W,0.2558838167535197,5537.395796466425,181.01811270713807,782.6367461240344,3.269509360770118e-4,Eta15,Eta15,Enriquecido com clima,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Kernel climático (W)
Eta16,GY,E,1158.8741386107827,6854.207717852116,50.00791358947754,20981.45806784683,0.05523325094296982,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Ambiente (E)
Eta16,GY,GAK,18073.46737333513,6854.207717852116,50.00791358947754,20981.45806784683,0.8614018775478683,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Genômico arc-cosine (GAK)
Eta16,GY,GAKE,178.57989126620436,6854.207717852116,50.00791358947754,20981.45806784683,0.008511319408247908,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,GAK × E
Eta16,GY,GAKW,1521.0267301873191,6854.207717852116,50.00791358947754,20981.45806784683,0.07249385268024944,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,GAK × W
Eta16,GY,Residual,47.876985365741916,6854.207717852116,50.00791358947754,20981.45806784683,0.0022818712222441445,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Residual
Eta16,GY,W,1.6329490816524086,6854.207717852116,50.00791358947754,20981.45806784683,7.782819842033915e-5,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Kernel climático (W)
Eta16,KW,E,161.89353490626075,5507.864268047288,82.8443489074707,8081.808659340528,0.020031844569736595,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Ambiente (E)
Eta16,KW,GAK,7667.483820509451,5507.864268047288,82.8443489074707,8081.808659340528,0.948733649075913,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Genômico arc-cosine (GAK)
Eta16,KW,GAKE,41.894299088251906,5507.864268047288,82.8443489074707,8081.808659340528,0.005183777648562947,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,GAK × E
Eta16,KW,GAKW,197.60354833202305,5507.864268047288,82.8443489074707,8081.808659340528,0.024450411617162368,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,GAK × W
Eta16,KW,Residual,12.52378530984755,5507.864268047288,82.8443489074707,8081.808659340528,0.0015496265548644512,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Residual
Eta16,KW,W,0.4096711946932914,5507.864268047288,82.8443489074707,8081.808659340528,5.069053376063476e-5,Eta16,Eta16,Enriquecido com clima,E + W + GAK + GAKE + GAKW,Kernel climático (W)
Eta17,GY,E,1334.6467310153841,8391.779793437734,73.03857421875,8070.707351278193,0.16536923876988432,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Ambiente (E)
Eta17,GY,PAK,6168.8889512658225,8391.779793437734,73.03857421875,8070.707351278193,0.7643554254620357,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Fenômico arc-cosine (PAK)
Eta17,GY,PAKE,74.57130104426926,8391.779793437734,73.03857421875,8070.707351278193,0.009239747868253342,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,PAK × E
Eta17,GY,PAKW,230.78707656216875,8391.779793437734,73.03857421875,8070.707351278193,0.028595644287067106,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,PAK × W
Eta17,GY,Residual,260.30418359540766,8391.779793437734,73.03857421875,8070.707351278193,0.03225295779733386,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Residual
Eta17,GY,W,1.5091077951402345,8391.779793437734,73.03857421875,8070.707351278193,1.8698581542561207e-4,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Kernel climático (W)
Eta17,KW,E,327.1714281134337,7213.632452401621,118.64746203422547,3427.379523142525,0.0954581848623096,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Ambiente (E)
Eta17,KW,PAK,2931.980413204221,7213.632452401621,118.64746203422547,3427.379523142525,0.8554583446060626,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Fenômico arc-cosine (PAK)
Eta17,KW,PAKE,21.45618154427981,7213.632452401621,118.64746203422547,3427.379523142525,0.006260229250773746,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,PAK × E
Eta17,KW,PAKW,71.82321545594117,7213.632452401621,118.64746203422547,3427.379523142525,0.02095572286960718,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,PAK × W
Eta17,KW,Residual,74.52244600721785,7213.632452401621,118.64746203422547,3427.379523142525,0.021743272230000683,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Residual
Eta17,KW,W,0.42583881743172014,7213.632452401621,118.64746203422547,3427.379523142525,1.2424618124615315e-4,Eta17,Eta17,Enriquecido com clima,E + W + PAK + PAKE + PAKW,Kernel climático (W)
Eta18,GY,E,684.4386330929732,6845.651272612289,106.20550093650817,20147.669066007857,0.033971107568355086,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Ambiente (E)
Eta18,GY,GAK,17688.622745590266,6845.651272612289,106.20550093650817,20147.669066007857,0.8779488429971102,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Genômico arc-cosine (GAK)
Eta18,GY,GAKE,127.80540008812758,6845.651272612289,106.20550093650817,20147.669066007857,0.006343433558959656,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,GAK × E
Eta18,GY,GAKW,1367.8873250879558,6845.651272612289,106.20550093650817,20147.669066007857,0.06789308086243025,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,GAK × W
Eta18,GY,PAK,81.43219496636935,6845.651272612289,106.20550093650817,20147.669066007857,0.004041767546388663,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Fenômico arc-cosine (PAK)
Eta18,GY,PAKE,45.24618196456481,6845.651272612289,106.20550093650817,20147.669066007857,0.002245727871364629,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,PAK × E
Eta18,GY,PAKW,104.50001988275662,6845.651272612289,106.20550093650817,20147.669066007857,0.005186705198521642,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,PAK × W
Eta18,GY,Residual,46.76133791587425,6845.651272612289,106.20550093650817,20147.669066007857,0.0023209304144650483,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Residual
Eta18,GY,W,0.9752274189698344,6845.651272612289,106.20550093650817,20147.669066007857,4.840398240485246e-5,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Kernel climático (W)
Eta18,KW,E,153.72719546966812,5479.061723036856,193.00377988815308,7721.310486686304,0.019909469478625,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Ambiente (E)
Eta18,KW,GAK,7375.813001481823,5479.061723036856,193.00377988815308,7721.310486686304,0.9552540354645478,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Genômico arc-cosine (GAK)
Eta18,KW,GAKE,33.33018156234366,5479.061723036856,193.00377988815308,7721.310486686304,0.004316648271017492,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,GAK × E
Eta18,KW,GAKW,72.7166685498841,5479.061723036856,193.00377988815308,7721.310486686304,0.00941765891622516,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,GAK × W
Eta18,KW,PAK,32.323768299015065,5479.061723036856,193.00377988815308,7721.310486686304,0.004186305984554082,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Fenômico arc-cosine (PAK)
Eta18,KW,PAKE,11.166196100598539,5479.061723036856,193.00377988815308,7721.310486686304,0.0014461529710341503,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,PAK × E
Eta18,KW,PAKW,30.01759771728978,5479.061723036856,193.00377988815308,7721.310486686304,0.0038876299261697226,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,PAK × W
Eta18,KW,Residual,11.959730645242868,5479.061723036856,193.00377988815308,7721.310486686304,0.001548924974052628,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Residual
Eta18,KW,W,0.2561468604383845,5479.061723036856,193.00377988815308,7721.310486686304,3.317401377396405e-5,Eta18,Eta18,Enriquecido com clima,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW,Kernel climático (W)
